
 Payment      Amount        Interest       Principal        Balance
John Prime                                                  20000
   1          400.76         125.00         275.76       20000.00
   2          400.76         123.28         277.48       19724.24
   3          400.76         121.54         279.22       19446.76
   4          400.76         119.80         280.96       19167.54
   5          400.76         118.04         282.72       18886.58
   6          400.76         116.27         284.48       18603.86
   7          400.76         114.50         286.26       18319.38
   8          400.76         112.71         288.05       18033.11
   9          400.76         110.91         289.85       17745.06
  10          400.76         109.10         291.66       17455.21
  11          400.76         107.27         293.49       17163.55
  12          400.76         105.44         295.32       16870.06
  13          400.76         103.59         297.17       16574.74
  14          400.76         101.73         299.02       16277.57
  15          400.76          99.87         300.89       15978.55
  16          400.76          97.99         302.77       15677.65
  17          400.76          96.09         304.67       15374.88
  18          400.76          94.19         306.57       15070.21
  19          400.76          92.27         308.49       14763.64
  20          400.76          90.34         310.41       14455.16
  21          400.76          88.40         312.35       14144.74
  22          400.76          86.45         314.31       13832.39
  23          400.76          84.49         316.27       13518.08
  24          400.76          82.51         318.25       13201.81
  25          400.76          80.52         320.24       12883.56
  26          400.76          78.52         322.24       12563.33
  27          400.76          76.51         324.25       12241.09
  28          400.76          74.48         326.28       11916.84
  29          400.76          72.44         328.32       11590.56
  30          400.76          70.39         330.37       11262.24
  31          400.76          68.32         332.43       10931.87
  32          400.76          66.25         334.51       10599.44
  33          400.76          64.16         336.60       10264.92
  34          400.76          62.05         338.71        9928.32
  35          400.76          59.94         340.82        9589.61
  36          400.76          57.80         342.95        9248.79
  37          400.76          55.66         345.10        8905.84
  38          400.76          53.50         347.25        8560.74
  39          400.76          51.33         349.42        8213.48
  40          400.76          49.15         351.61        7864.06
  41          400.76          46.95         353.81        7512.45
  42          400.76          44.74         356.02        7158.64
  43          400.76          42.52         358.24        6802.63
  44          400.76          40.28         360.48        6444.38
  45          400.76          38.02         362.73        6083.90
  46          400.76          35.76         365.00        5721.17
  47          400.76          33.48         367.28        5356.17
  48          400.76          31.18         369.58        4988.88
  49          400.76          28.87         371.89        4619.31
  50          400.76          26.55         374.21        4247.42
  51          400.76          24.21         376.55        3873.20
  52          400.76          21.85         378.90        3496.65
  53          400.76          19.49         381.27        3117.75
  54          400.76          17.10         383.66        2736.47
  55          400.76          14.71         386.05        2352.82
  56          400.76          12.29         388.47        1966.76
  57          400.76           9.86         390.89        1578.30
  58          400.76           7.42         393.34        1187.40
  59          400.76           4.96         395.80         794.07
  60          400.76           2.49         398.27         398.27

 Payment      Amount        Interest       Principal        Balance
Dante Rico                                               12500.00
   1          292.99          61.46         231.53       12500.00
   2          292.99          60.32         232.67       12268.47
   3          292.99          59.18         233.81       12035.80
   4          292.99          58.03         234.96       11801.98
   5          292.99          56.87         236.12       11567.02
   6          292.99          55.71         237.28       11330.90
   7          292.99          54.54         238.45       11093.62
   8          292.99          53.37         239.62       10855.18
   9          292.99          52.19         240.80       10615.56
  10          292.99          51.01         241.98       10374.76
  11          292.99          49.82         243.17       10132.78
  12          292.99          48.62         244.37        9889.61
  13          292.99          47.42         245.57        9645.24
  14          292.99          46.22         246.78        9399.67
  15          292.99          45.00         247.99        9152.90
  16          292.99          43.78         249.21        8904.91
  17          292.99          42.56         250.43        8655.70
  18          292.99          41.33         251.66        8405.27
  19          292.99          40.09         252.90        8153.61
  20          292.99          38.85         254.14        7900.70
  21          292.99          37.60         255.39        7646.56
  22          292.99          36.34         256.65        7391.16
  23          292.99          35.08         257.91        7134.51
  24          292.99          33.81         259.18        6876.60
  25          292.99          32.54         260.45        6617.42
  26          292.99          31.26         261.74        6356.97
  27          292.99          29.97         263.02        6095.23
  28          292.99          28.68         264.32        5832.21
  29          292.99          27.38         265.61        5567.90
  30          292.99          26.07         266.92        5302.28
  31          292.99          24.76         268.23        5035.36
  32          292.99          23.44         269.55        4767.13
  33          292.99          22.11         270.88        4497.58
  34          292.99          20.78         272.21        4226.70
  35          292.99          19.44         273.55        3954.49
  36          292.99          18.10         274.89        3680.94
  37          292.99          16.75         276.24        3406.05
  38          292.99          15.39         277.60        3129.81
  39          292.99          14.02         278.97        2852.21
  40          292.99          12.65         280.34        2573.24
  41          292.99          11.27         281.72        2292.90
  42          292.99           9.89         283.10        2011.18
  43          292.99           8.50         284.49        1728.08
  44          292.99           7.10         285.89        1443.59
  45          292.99           5.69         287.30        1157.70
  46          292.99           4.28         288.71         870.40
  47          292.99           2.86         290.13         581.69
  48          292.99           1.43         291.56         291.56
